"﻿""headline""","summary","submitDate","rating","source","upvote","downvote","deploymentArchitecture","partnerReview","submitTimestamp","user_id","user_title","user_industry","user_companySize","user_function","lessonslearned-like-most","lessonslearned-dislike-most","evaluation-contracting","why-purchase-s24","factors-drove-decision-s24","vendors-considered","integration-deployment","service-support","product-capabilities","deployment-architecture-s24","deployment-country-multi","reviewId"
"Katalon Helping Automation Testing with easy to use","Katalon Studio helps in carrying out and creating tasks quickly and efficiently, from the arrangement of the user interface to being able to automate testing easily and quickly. in support is also faster and easier to ask for help from support.","2021/2/15","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1613322000000,"125644720","Technical Consultant","IT Services","500M - 1B USD","Management / Business Consulting","how to use, how to install on the device, and most importantly Catalon also supports MacOS devices not only Windows devices. making it easier for users to cross-device to other devices faster.","requires fairly high hardware, so not everyone or company has a device that suits application needs.","5","Create internal/operational efficiencies, Drive revenue growth, Drive innovation, Improve supplier or partner relationships, Enhance decision making, Improve business process agility, Improve customer relations/service, Cost management","Product functionality and performance, Strong user community, Strong services expertise, Strong customer focus, Strong consulting partnership, Product roadmap and future vision","Don't know","5","5","5","Hybrid Cloud and On-premises","Indonesia",3536887
"Katalon studio review","Katalon is quite nice automation tool to use which reduces efforts by automating tasks. A person with lesser technical knowledge can also use it easily,","2021/2/15","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1613322000000,"125644810","QA","IT Services","<50M USD","Other","record feature","price","5","Reduce time to market","Product functionality and performance","Don't know","5","NaN","5","On-premises","India",3536890
"Great product, great capabilities","Katalon Studio is the perfect tool for small and big automation needs. Easy to setup and easy to use. No need to be a high-skill developper to use it, but it can do so many things... Very useful.","2021/2/15","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1613322000000,"125644600","Test Consultant","Services (non-Government)","50M - 250M USD","IT","The ability to work with keywords AND in script mode to go further.","Still a bit heavy to launch.","NaN","Create internal/operational efficiencies, Improve compliance & risk management","Product functionality and performance, Overall cost, Strong user community","Don't know","4","4","4","On-premises","France",3536876
"Great product","easy to use, fast support and excellent communication, support are replying quickly Very large user Community so it is easy to have  answers for previous questions","2021/2/14","4","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1613235600000,"120570420","Lead QA","Media","50M - 250M USD","IT","the ease of re-running campaigns both locally and remotely","Nothing to report for now","5","Drive innovation, Create internal/operational efficiencies, Enhance decision making, Improve business process outcomes, Improve compliance & risk management, Reduce time to market, Improve business process agility","Strong consulting partnership, Strong user community, Strong services expertise, Product roadmap and future vision, Product functionality and performance, Overall cost, Breadth of services","Digital.ai, Parasoft, Microsoft, Neotys, QATestLab, Applitools, Tricentis, Sauce Labs, SmartBear","5","5","4","Cloud (SaaS or PaaS or IaaS)","France",3534049
"Katalon is making the testing world change","For the people like me that used to wait for develop to complete the development an pass on the batten to our team for manual automation, this tool is complete gamechanger.","2021/2/12","4","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1613062800000,"124210350","Systems Engineer","IT Services","10B - 30B USD","Data and Analytics","Not only desktop, it can operated from apps as well.","There are no real downside of this service.","NaN","Create internal/operational efficiencies, Improve business process agility","Product functionality and performance, Breadth of services","Worksoft","4","5","5","Cloud (SaaS or PaaS or IaaS)","India",3533970
"Quick transition from manual to automatic testing.","Katalon has an intuitive interface that allows you to perform new operations more quickly and thus speed up the output of products.","2021/2/12","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1613062800000,"125628750","Associated","Telecommunication","50M - 250M USD","Management / Business Consulting","The learning curve is very easy to train new team members.","The support of other languages ​​could be improved, which would allow people with experience with another suite to enter the projects that are already managed with katalon.","4","Improve business process outcomes, Reduce time to market, Create internal/operational efficiencies","Product functionality and performance","IBM, SmartBear","5","4","5","On-premises","Bolivia",3536177
"Qa","automation structure is to bad to write and compliced and keyword are okay to write but test is scripted and for me is bad.","2021/2/12","3","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1613062800000,"125620700","QA Automation","Telecommunication","500M - 1B USD","Management / Business Consulting","intergration","structure","4","Create internal/operational efficiencies","Product functionality and performance","Quality First Software","3","4","4","Cloud (SaaS or PaaS or IaaS)","Germany",3535911
"Katalon Studio is a great tool for test automation which made our team smarter","Overall experience is very good as we are developing tests using multiple platforms like Windows, macOS and Linux as different QAs use different devices to develop on.","2021/2/12","5","Invited by Vendor (direct, user community)","0","0","Don't know","FALSE",1613062800000,"125620250","QA Automation Engineer","IT Services","<50M USD","Other","- In Browser recorder for headless browsers which helped a lot in reporting bugs or in fixing flaky tests
- Combination of web, api and native tests which can be done in one repository","way how objects are handled","5","Enhance decision making, Drive innovation, Improve supplier or partner relationships, Improve customer relations/service, Reduce time to market, Improve business process outcomes, Improve compliance & risk management","Product roadmap and future vision, Product functionality and performance","LambdaTest, ZAPTEST, Ranorex, QMetry, Applitools","4","5","5","Don't know","Bosnia and Herzegovina",3535870
"Testing tool for UI","very flexible in automation testing for UI .useful in time management .help freshers to work in automation testing ","2021/2/12","5","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1613062800000,"125616830","Design And Development Engineer","Healthcare and Biotech","250M - 500M USD","Software Development","flexibility ","taking time for closing","NaN","Reduce time to market, Don't know","Product functionality and performance, Strong services expertise","Smart Software Testing Solutions","5","NaN","NaN","Cloud (SaaS or PaaS or IaaS)","India",3535667
"Great tool to easily and quickly start an automation project","Very easy to start working with, reliable, and comes with lots of useful integrations. Also possible to use base selenium scripts instead of enhanced katalon keywords making the tool suitable for every situation. Default video record, screenshot taking, and online test result management platform making it great to start with even though other test result integrations are of course possible (JIRA/Zephyr etc...). ","2021/2/11","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1612976400000,"125577180","QA Lead","Miscellaneous","250M - 500M USD","Management / Business Consulting","Katalon TestOps online platform, ability to work in simplified view or go with script mode, lots of prebuilt features like video record or screenshots and more to come, page object model easily applicable...","Not a lot to say, but Devops / Docker still not working perfectly from our point of view.","5","Reduce time to market, Drive innovation, Create internal/operational efficiencies, Improve compliance & risk management","Overall cost, Product functionality and performance, Breadth of services","Don't know","5","5","5","Hybrid Cloud and On-premises","Switzerland",3534037
"Great product for testing apps","The user interface is very intuitive and easy to use. It's very easy for anyone to pick it up and start using it. another useful feature is that we can test both mobile apps as well as web apps using this product","2021/2/11","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612976400000,"125609450","Research Assistant","Education","Gov't/PS/ED 5,000 - 50,000 Employees","Research and Development","we can test both mobile and web apps on the same product","There's no proper support or documents if we find some errors.","NaN","Drive innovation","Overall cost, Financial/organizational viability","Don't know","5","5","NaN","On-premises","United States",3535415
"Katalon Easy tool for automation","its a great tool for automation and i think that it help us improve quality i really recommend it.
Doesn't require much technical knowledge to get you start","2021/2/11","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612976400000,"125577090","Engineer","IT Services","<50M USD","Management / Business Consulting","its easy and doesnt require technical skilles","nothing bad about it but if they could add python as a supported language for the script that would be nice","4","Other...","Product functionality and performance","Microsoft","4","5","5","On-premises","France",3534027
"Solid testing and automation product","Katalon has been a great product to implement with a short turn time from acquisition to launch of use cases.  Powerful yet easy to use.","2021/2/11","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612976400000,"125580330","Director Of Technology","IT Services","<50M USD","Software Development","Provides a robust testing and automation environment that allows automated monitoring and testing","They removed the ability to run automated monitoring for free and started charging for the bots","5","Create internal/operational efficiencies, Cost management, Improve customer relations/service","Product functionality and performance, Overall cost","Micro Focus","5","5","5","On-premises","United States",3534230
"Katalon Studio - The one stop solution for software testing that make your life easy","I started my Katalon Journey in 2019 by viewing a tutorial video. I would say Katalon interface is so clean and clear that anybody without watching any tutorial can start his or her katalon journey.
Katalon is a great automation tool for both Technical and Non-technical person. Non-technical users can use Manual mode to create a script in katalon as it require less or No coding knowledge. When it comes to those who are more technical, they can use script mode to create automation scripts. Overall it give a flexibility to user to do his/her work.
but the main thing in katalon is that there are so many powerful features that can be explored if you step further and dive deeper into katalon documentation. 
","2021/2/11","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612976400000,"112020840","QUALITY ENGINEER","IT Services","<50M USD","Software Development","This tool is very well organized and can be used to test API, Web Applications and Mobile applications and requires minimal programming knowledge to start application testing. It can be easily integrated with 3rd party applications like Slack. Ready and FREE plugins available to make testing more effective.","Sometimes it becomes difficult to troubleshoot issues. User has to keep very detailed knowledge of documentation about the error which may occur. Also since this tool is somewhat new in the market compared to Selenium Webdriver, hence, it's at times difficult to find solutions if a user is stuck in a problem. ","4","Improve business process agility, Improve customer relations/service, Drive innovation, Reduce time to market, Cost management, Improve business process outcomes","Product roadmap and future vision, Strong services expertise, Strong customer focus, Product functionality and performance","SmartBear, Ranorex, Sauce Labs, IBM","3","4","4","On-premises","India",3534089
"Satisfactory performance","Using katalon helped my team to migrate form a complete manual process to an automated technique and i will say it has been satisfactory","2021/2/11","3","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612976400000,"125577420","Quality Assurance Engineer","IT Services","<50M USD","Other","Ability to work on both web and mobile applications","Cross browser capability, hopefully it can onboard a lot more browsers","3","Create internal/operational efficiencies, Cost management, Reduce time to market, Improve business process agility, Improve business process outcomes, Enhance decision making","Breadth of services, Overall cost, Product functionality and performance","QATestLab, Sauce Labs, SmartBear","4","4","4","Cloud (SaaS or PaaS or IaaS)","Nigeria",3534051
"Great automation tool to get fulfill your requirement","several years before i was looking for automation tool to automate one of the product. But i was very lazy and i wanted to find a tool to automate without giving that much of effort. so I found the katalon and it fulfill my requirement","2021/2/10","4","Invited by Vendor (direct, user community)","1","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125594090","QA","IT Services","<50M USD","Software Development","katalon doesn't need that much of technical knowledge. That is the favorite part of the katalon. So without having programming knowledge you can use katalon. and also it can come up with web, mobile and API testing. it also really helpful","All the products were free when I start using katalon and at that time said these will be free for the lifetime. after several releases It has come as paid tool. really disappointed with that behavior. At least katalon should consider about initial users to give free as they initially said.","NaN","Reduce time to market, Improve business process outcomes","Product functionality and performance, Strong services expertise","QMetry, Ranorex, LambdaTest, Sauce Labs","4","4","3","Cloud (SaaS or PaaS or IaaS)","Sri Lanka",3534734
"Nice Product with Strong API testing Capabilities","Katalon is good tool specially for API testing is very powerful where we need to test REST vs SOAP. But my feedback will be to improve performance of tool on MAC, Sometimes it does not reflect changes or sometimes it does display the progress, Need start at that time. Love the tool, if these are resolved it will be much nicer. happy to provide details and replicate as well.","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125593150","Senior Consultant","Banking","50M - 250M USD","Management / Business Consulting","I like the REST and SOAP calls together via Object Repository.","Test cases are written in XML, it could have been in Typescript/JS/Groovy.","4","Create internal/operational efficiencies, Cost management, Improve business process outcomes, Improve supplier or partner relationships, Enhance decision making","Product roadmap and future vision, Strong services expertise, Strong customer focus, Strong consulting partnership, Product functionality and performance, Financial/organizational viability, Breadth of services","Other..., ZAPTEST, LambdaTest, Neotys, Avo Automation, Applitools, ACCELQ, Quality Professionals (Q-Pros), Qualitia, QATestLab","5","3","4","Cloud (SaaS or PaaS or IaaS)","Australia",3534716
"Overall experience after 3 months","We have been using Katalon Studio for 3 months and the tool has great features and was easy to adopt within our test community. ","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125591920","BI Consultant","Telecommunication","30B + USD","Data and Analytics","It is very easy to start using Katalon Studio for domain experts which might be less technical and not comfortable with writing the code but it is also very powerful so our SDETs can extend capabilities of the tool and use their developers skills effectively. We also use their Enterprise Level Support which allows us to submit feature requests and questions and we are pleased with their promptness to our requests.","Katalon Studio keeps adding new features and functionality on a regular bases but there is no clear roadmap available to the community and this is something that could be improved in the future","5","Reduce time to market, Drive innovation","Strong customer focus, Strong user community","Compuware, SmartBear, Microsoft","5","5","5","Cloud (SaaS or PaaS or IaaS)","Australia|India",3534672
"Boost your QA efficiency significantly and in record time","Very interesting product. Honestly, we've been able to be up and running in a matter of hours. Since we used it, we dramatically reduce our testing times. As a bonus, using Katalon forces us to rethink certain strategies, and for the best! We're all better since we use it.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1612890000000,"125587330","IT Deputy Directort","IT Services","<50M USD","Software Development","It adapts to our learning curve. ","Sometimes it might need special effort to maintain the web object repository if you are using multiples projects at the same time, and when those projects are highly active, necessitating to updates objects regularly.","4","Enhance decision making, Create internal/operational efficiencies, Reduce time to market, Improve business process outcomes, Cost management, Improve business process agility","Breadth of services, Strong user community, Product functionality and performance, Overall cost","Other..., SmartBear, Microsoft, ZAPTEST, Zeenyx Software","5","5","5","Hybrid Cloud and On-premises","Canada",3534524
"The Next Generation Automation Tool","Katalon Studio is a pretty awesome tool for the automated UI and Services testing. because of its capabilities, we were able to implement a fully automated process to test application development.  whenever the developer commits the code Kataloan will automatically run and push the results to Kibana to visualize the results","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1612890000000,"125585790","Senior Software Engineer","IT Services","<50M USD","Software Development","We can record the UI functions and use them as test cases.
Results of the test cases can push to the monitoring frameworks such as Kibana.
Can be integrated with CI/CD tools like Jenkins.
Users can create separate profiles, which helps to develop in one environment (Development) and use in multiple environments(Production/Pre-Production) without making changes to test cases.
Available in Linux and Windows platforms.

","It does not indicate code errors when writing groovy or test scripts.
Sometimes login is not working properly.
Has to create a user account in their web application and link to Katalon Studio
Doesn't have smart help features in the code editor.
A bit harder to debug code errors.","NaN","Improve business process outcomes, Create internal/operational efficiencies, Improve business process agility, Improve compliance & risk management","Overall cost, Strong user community, Product roadmap and future vision, Product functionality and performance","Microsoft, Oracle, IBM, Applitools","5","5","5","Hybrid Cloud and On-premises","Australia",3534454
"Excellent tool","katalon Studio has capabilities of UI and API automation together in a single script . Object repository and reporting tool is excellent ","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125585280","Sr QA Analyst","IT Services","30B + USD","Other","Katalon framwork support all the third party libraries and record and play feature is excellent ","it is little heavy tool ","5","Reduce time to market","Product functionality and performance","Appvance.ai, Broadcom","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",3534435
"Helpful","A not so technical team has taken great advantage from the record and play feature. Technical team has explored and been able to use it more extensively though.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125583260","QA Manager","Media","<50M USD","Software Development","Record and Playback","Inability to automate OTT devices","5","Reduce time to market, Improve business process outcomes, Improve compliance & risk management, Cost management, Improve business process agility, Create internal/operational efficiencies","Overall cost, Product functionality and performance","LambdaTest, Sauce Labs, Tricentis","5","NaN","4","Cloud (SaaS or PaaS or IaaS)","United States",3534382
"Katalon a easier way to create scripts","i like the feasibility of making scripts with commonly used features readily available to the go.
also the repeated steps can be copied easily ","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Don't know","FALSE",1612890000000,"125582980","Automation Engineer","Telecommunication","10B - 30B USD","Other","New scripts are easy to create","Sometimes the objects don't find the right element","5","Drive innovation, Create internal/operational efficiencies","Strong user community, Strong services expertise, Product roadmap and future vision","Don't know","5","5","5","Don't know","Mexico",3534375
"Best in the Market Automation Framework and free.","one of the Best Automation tools , which induces both cross browser & mobile app testing. The best part is all the basic functionalities are included n the free version. means you can completely deliver a solid automation framework without worrying about the license fees.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125582880","QA Automation Lead","Banking","10B - 30B USD","Management / Business Consulting","free version let you do almost everything.","lack of scripting language support for customized automation.","5","Reduce time to market","Overall cost","Applitools, SmartBear","5","5","5","Cloud (SaaS or PaaS or IaaS)","Canada",3534371
"Great free tool that every QA Analyst should know about.","It saved me a lot of time while working on a small project. It's free and easy to use and it's perfect for everyone especially for a QA analyst like me who doesn't have the greatest programming skills. ","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125582590","","Media","<50M USD","Other","Allowed me to pretty easily automate priority one flows to run regression tests with all major changes being pushed to the site.","The recorder was flakey at times and didn't record the steps exactly how I was completing them.","NaN","Improve customer relations/service, Create internal/operational efficiencies, Reduce time to market","Strong user community, Pre-existing relationships, Product functionality and performance","Progress","5","4","4","Cloud (SaaS or PaaS or IaaS)","United States",3534360
"Excellent Product for Automated Testing","As a project manager in a tech support role, this was out of my realm a little bit but extremely easy to use when i need to step in and assist QA. ","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125582300","Project Manager - Tech Support","Miscellaneous","<50M USD","IT","It's very simple to figure out (assuming you have some technical experience). We are able to run a breadth of tests for our 10 servers, including test, training and production servers without much changing of the script. ","I have to run the test on a slower speed or it tends to time out.","NaN","Create internal/operational efficiencies, Enhance decision making, Improve customer relations/service, Improve business process outcomes","Product functionality and performance, Pre-existing relationships, Overall cost","Don't know","5","5","5","Cloud (SaaS or PaaS or IaaS)","United States",3534343
"Excellent tool for software regression test","Katalon provides a grateful experience testing software. All tools available makes the testing process faster and provides more time for more complex testing scenarios","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","","FALSE",1612890000000,"111072260","Applications","IT Services","<50M USD","Software Development","The fastest way to develop an testing scenario","An hard work to do if you want to interact with grids or tables, also new updates separates in different products and each product needs its own license","","","","","","","4","","",715281
"Powerful automation platform","Katalon has proven to be a robust platform for our evolution from immature manual testing practices to ever maturing automated practices. My entire team has embraced the solution.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125580780","SVP Technology And Operations","Media","250M - 500M USD","Software Development","Breath of capabilities.","initial learning curve proved a bit larger than expected.","NaN","Drive innovation, Reduce time to market","Product functionality and performance, Breadth of services, Product roadmap and future vision","Don't know","NaN","NaN","NaN","Cloud (SaaS or PaaS or IaaS)","United States",3534255
"Katalon - Easy Automation Solution. ","We implemented Katalon as our automation solution a couple of years ago and have found it to be a very useful automation solution that even a beginner can pick up easy and begin scripting. ","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612890000000,"125580470","Quality Assurance Analyst III","IT Services","<50M USD","Software Development","Usability. It's easy for a beginner with no automation experience to pick up Katalon and begin creating automation scripts. ","Katalon continuously puts out updates and our team spends a lot of time downloading and testing the updates. ","4","Cost management, Drive innovation","Overall cost, Other...","Don't know","4","4","4","On-premises","United States",3534233
"Nice product so far","Still under trial use of this product but so far have been very impressed.  The basic functionality appears to be something we can use.  Still learning the full capabilities.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125580120","Site Reliability Engineer","Retail","<50M USD","IT","Ease of use is a big factor for technical and non-technical users.","The import of selenium tests isn't as easy as I'd hoped for.","NaN","Drive innovation, Create internal/operational efficiencies","Product functionality and performance, Overall cost","TestCraft, Microsoft","5","NaN","4","Cloud (SaaS or PaaS or IaaS)","United States",3534221
"Katalon - Future of Automation testing","We achieved better and faster outcome of out tests, improved testing processes. Our manual testers integration to software was very ","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1612890000000,"125578690","QA Engineer","IT Services","<50M USD","Other","Very valuable product, good for engineers which doesn't have programming background. Easy integration to all known platforms, great support.","There are some child diseases on software that I hope will be fixed in future. Also updates should be faster according to updates on known platforms, sometime it happens that Katalon crashes without reasons and freezes from time to time.","4","Create internal/operational efficiencies, Improve business process outcomes, Improve business process agility","Strong user community, Product roadmap and future vision, Product functionality and performance","Smart Software Testing Solutions, Tricentis, IBM, QATestLab, Quality Professionals (Q-Pros)","4","5","3","Hybrid Cloud and On-premises","Switzerland|Germany|Bosnia and Herzegovina|United States|Australia",3534134
"New in automation testing with Katalon ","My experience so far with Katalon is a positive one. I have started to use it recently and even though I am still learning I am happy with the overall experience. I am using Katalon for API testing.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125578220","QA Engineer","Media","<50M USD","Other","The usability and design.","I cannot say I dislike something at this moment.","NaN","Create internal/operational efficiencies, Improve business process agility, Drive innovation, Improve business process outcomes","Other..., Product functionality and performance, Pre-existing relationships","Tricentis, SmartBear, Ranorex, QATestLab, Applitools","5","4","5","Cloud (SaaS or PaaS or IaaS)","Greece",3534139
"A complete package for automation","i am completely satisfied using this product so far,  It  has many features which were there in QTP/UFT. Third party jar integration is most useful functionality i have came across. 
Apart from that it is loaded with multiple features like advance and invoice mode.
Abstraction of Webdriver.
Not sure how it will behave if we execute test cases in scale of 10k +.
KS 7.x is doing great with inbuild syncronization.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","","FALSE",1612890000000,"111068470","Senior QA Engineer","Miscellaneous","1B - 3B USD","Other","simplicity and features of framewirk, it has a very low learning curve you can onboard a resource very quickly.","Don't have anything so far","","","","","","NaN","5","","",714887
"A next generation automation tools for automation resources with limited coding skills","We are using Katalon for Test automation mainly now in Web and Mobile. Its good learning curve for people with some basic knowledge of selenium and java. Also Fats Automation Development and Easy to maintain. Provide Good automation framework overall with all important integration like Jira, Ci/CD and other test management tools also.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1612890000000,"88710680","Associate Solution Architect","IT Services","250M - 500M USD","IT","Self Healing, Script less Automation and Cross Browser support, Customization","Performance","5","Improve business process agility, Cost management, Drive revenue growth, Create internal/operational efficiencies, Reduce time to market, Improve business process outcomes, Improve customer relations/service, Drive innovation","Overall cost, Product roadmap and future vision, Strong customer focus","LEAPWORK","5","5","4","Hybrid Cloud and On-premises","India",3534118
"a very positive opinion, I recommend","After using many tools, Katalon was a good one, offering many possibilities and the integration with all the tools I needed.","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125578580","Ingénieur Test Et Validation","IT Services","<50M USD","Management / Business Consulting","I used to utomate using Katalon studio, the tool is very good and helps a lot.","Few problems due to changing names of test cases","NaN","Improve customer relations/service, Improve business process agility, Cost management, Enhance decision making","Strong consulting partnership, Strong customer focus, Strong services expertise, Strong user community","Ranorex, Testim, QATestLab, Microsoft","5","5","5","Cloud (SaaS or PaaS or IaaS)","France",3534115
"Katalon studio","I tried katalon studio in a trial version and I really liked it. Is an easy to learn and very robust tool for test automation.","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1612890000000,"125577980","Trainee","Education","Gov't/PS/ED <5,000 Employees","Other","I especially like the ease of doing tests by scripts or recording","I think some more features could be added, exploring the area of ​​artificial intelligence","5","Improve business process outcomes, Improve customer relations/service, Create internal/operational efficiencies","Product functionality and performance, Breadth of services","Testim, mabl, TestCraft, Appvance.ai, Applitools, Sauce Labs, SmartBear, LambdaTest","5","NaN","5","Hybrid Cloud and On-premises","Portugal",3534082
"Would mark as Good but can be better. ","It is good to use the tool.  Generally it says record and play back but many events are not stored and correctly recorded. ","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612890000000,"125578050","QA Lead","IT Services","250M - 500M USD","Product Management","UI provided and made life easy for testers. ","Playback and record method do miss the events that needs to be recorded needs to be improved","3","Drive innovation, Improve business process agility","Product functionality and performance","Sauce Labs, Oracle, Microsoft","3","3","4","On-premises","India",3534092
"Cross-browser testing has never been so much fun ","Overall, I would descrive my experience with this tool rather good : Katalon allowed me to index my test on my KPIs, which improve my test strategy and prevent me from loosing time prioritizing tests. I am also really please how fast test suites are running and tests which failed are quickly highlighted and traceable","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1612890000000,"125577900","Lead QA","IT Services","<50M USD","Data and Analytics","My main focus was cross browser and cross plateform testing : this tool grant me to do both","I have to admit that the tool causes some interference with my browser and prevents the script from running but everything goes back to normal pretty quickly in general: I can rely on a large community of users to find a solution.","NaN","Drive innovation, Improve business process outcomes, Reduce time to market, Create internal/operational efficiencies, Improve compliance & risk management, Enhance decision making, Improve business process agility","Product functionality and performance, Strong user community, Strong consulting partnership, Overall cost","QMetry, Micro Focus, Neotys, Sauce Labs, SmartBear, LambdaTest","4","5","4","Hybrid Cloud and On-premises","France",3534076
"Such a pleasing automation tool!","Love to use Katalon, it makes me really easy on doing automation.  Newer version allows you to locate element easily using highlight function it reduce my time to know whether my syntax is correct or not.  Really love on how Katalon able to tied up with Katalon Test Ops makes qa engineer and everyone on the team easy to see test report.  Thanks Katalon!!","2021/2/10","5","Invited by Vendor (direct, user community)","1","0","On-premises","FALSE",1612890000000,"118998600","QA Engineer","Miscellaneous","250M - 500M USD","Software Development","-Highlight function to know if my xpath syntax is correct or not.  It really save my time, rather than keep running script to know if my xpath is correct
-The integration to Katalon TestOps
-Record function that makes beginner easy to learn automation
-Spy function
-Bug highlighted fixed fast!!
-Cool reporting UI; easy to read ","- Sometimes it will crash unexpectedly
- Bug on Katalon Test Ops, it is tricky when you are editing a schedule however the issue is fixed already.","5","Cost management, Create internal/operational efficiencies, Improve compliance & risk management, Improve business process outcomes, Drive innovation","Strong user community, Strong services expertise, Product functionality and performance, Breadth of services","","5","5","5","On-premises","Malaysia",1282840
"Best Tool For Process Automation","it was a great experience working on Katlon. Reducing the execution to half. 
it is being very reliable and secured.

Many online forums are available to resolve the issue","2021/2/10","5","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612890000000,"125578030","Lead Engineer","IT Services","30B + USD","Research and Development","Maintenance of the project is simple","Reliability","5","Drive revenue growth, Improve business process agility, Cost management, Drive innovation, Reduce time to market","Pre-existing relationships, Strong services expertise, Financial/organizational viability, Strong user community","Avo Automation, Applitools, Endtest Technologies, LambdaTest, QATestLab","5","5","5","On-premises","India",3534087
"Good tool but still required more improments","Overall good product but still need lot of improvement in terms of supporting more number of programming languages, supporting external add-ons & parallel test execution. ","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1612890000000,"125577460","Lead QA Engineer","IT Services","<50M USD","Other","TestOps is awesome.","Parallel Test execution is hard.","4","Improve business process agility, Drive innovation, Cost management, Improve compliance & risk management, Improve business process outcomes","Product roadmap and future vision, Overall cost","Applitools","4","3","3","Cloud (SaaS or PaaS or IaaS)","India",3534055
"Agile implementation with automation orientation","This tool brings agility to the functionalities and non-functionalities of our business, through automated or single testing.
The multiple interfaces and  the possibility of adding extra contents in order to extend your testing force it is a great manner of originate robustness into the business.
It allow to ease the testing effort and became it more extended.","2021/2/10","4","Invited by Vendor (direct, user community)","0","0","On-premises","FALSE",1612890000000,"118930670","BSS Engineer","Telecommunication","50M - 250M USD","IT","The multiplicity of actions that the tool brings into a business, more specifically for testing purposes.","Tracing tests could have more depth and easiness.","4","Other...","Don't know","","4","4","4","On-premises","Portugal",1279375
